ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,reason,confidence
MIDHANI.NS,2026-09-10,2026-09-11 06:01:55,463.35,448.79998779296875,-3.14,STOP_LOSS,0
MRPL.NS,2026-09-10,2026-09-11 06:01:55,181.32,175.0,-3.49,STOP_LOSS,0
DLF.NS,2026-09-10,2026-09-11 06:01:55,655.1,634.0499877929688,-3.21,STOP_LOSS,50.0
CLEAN.NS,2026-09-10,2026-09-15 04:51:16,848.45,833.1500244140625,-1.8,STOP_LOSS,0
INDOCO.NS,2026-09-10,2026-09-15 04:51:16,254.25,250.0,-1.67,STOP_LOSS,0
JSL.NS,2026-09-10,2026-09-15 04:51:16,762.15,748.8499755859375,-1.75,STOP_LOSS,0
TIMKEN.NS,2026-09-10,2026-09-15 04:51:16,3297.2,3183.10009765625,-3.46,STOP_LOSS,0
COALINDIA.NS,2026-09-10,2026-09-15 04:51:16,431.0,424.6000061035156,-1.48,STOP_LOSS,50.0
LICHSGFIN.NS,2026-09-11,2026-09-15 04:51:16,562.3,553.5999755859375,-1.55,STOP_LOSS,50.0
CUMMINSIND.NS,2026-09-10,2026-09-15 09:42:19,5155.0,4896.5,-5.01,STOP_LOSS,0
PETRONET.NS,2026-09-10,2026-09-15 09:42:19,288.7,280.95001220703125,-2.68,STOP_LOSS,0
WESTLIFE.NS,2026-09-10,2026-09-15 09:42:19,561.5,554.4000244140625,-1.26,STOP_LOSS,50.0
INDUSINDBK.NS,2026-09-11,2026-09-15 09:42:19,978.2,955.7000122070312,-2.3,STOP_LOSS,50.0
JSL.NS,2026-09-15,2026-09-15 09:42:19,756.1,723.3499755859375,-4.33,STOP_LOSS,50.0
JSL.NS,2026-09-15,2026-09-15 14:29:06,756.1,723.5499877929688,-4.3,STOP_LOSS,50.0
JSL.NS,2026-09-15,2026-09-15 18:22:04,756.1,723.5499877929688,-4.3,STOP_LOSS,50.0
JSL.NS,2026-09-15,2026-09-15 21:34:32,756.1,723.5499877929688,-4.3,STOP_LOSS,50.0
JSL.NS,2026-09-15,2026-09-15 23:43:14,756.1,723.5499877929688,-4.3,STOP_LOSS,50.0
FSL.NS,2026-09-15,2026-09-16 06:46:35,278.9,274.6499938964844,-1.52,STOP_LOSS,50.0
TATAINVEST.NS,2026-09-15,2026-09-16 06:46:35,721.05,686.2999877929688,-4.82,STOP_LOSS,50.0
HINDCOPPER.NS,2026-09-10,2026-09-16 12:07:39,532.3,481.6000061035156,-9.52,STOP_LOSS,50.0
GODREJIND.NS,2026-09-16,2026-09-18 06:50:54,1136.5,1108.5,-2.46,STOP_LOSS,50.0
TATAINVEST.NS,2026-09-16,2026-09-18 06:50:54,681.95,692.6500244140625,1.57,STOP_LOSS,50.0
MARICO.NS,2026-09-10,2026-09-18 11:59:25,813.9,803.9000244140625,-1.23,STOP_LOSS,50.0
ADANIPORTS.NS,2026-09-10,2026-09-21 06:18:49,1775.0,1785.9000244140625,0.61,STOP_LOSS,50.0
RATNAMANI.NS,2026-09-10,2026-09-21 06:18:49,2859.2,2793.10009765625,-2.31,STOP_LOSS,50.0
SUPRAJIT.NS,2026-09-16,2026-09-21 06:18:49,489.85,486.8999938964844,-0.6,STOP_LOSS,50.0
FSL.NS,2026-09-16,2026-09-21 06:18:49,283.35,271.3999938964844,-4.22,STOP_LOSS,50.0
ATGL.NS,2026-09-18,2026-09-21 06:18:49,651.55,636.9000244140625,-2.25,STOP_LOSS,50.0
CLEAN.NS,2026-09-18,2026-09-21 06:18:49,858.3,837.25,-2.45,STOP_LOSS,50.0
HONAUT.NS,2026-09-18,2026-09-21 06:18:49,35445.0,34525.0,-2.6,STOP_LOSS,50.0
CASTROLIND.NS,2026-09-10,2026-09-21 13:06:01,188.06,193.5,2.89,STOP_LOSS,0
JKPAPER.NS,2026-09-17,2026-09-21 13:06:01,418.05,422.8999938964844,1.16,STOP_LOSS,50.0
PETRONET.NS,2026-09-18,2026-09-21 13:06:01,292.6,287.5,-1.74,STOP_LOSS,50.0
ALKEM.NS,2026-09-18,2026-09-21 13:06:01,5466.5,5364.0,-1.88,STOP_LOSS,50.0
ALKEM.NS,2026-09-21,2026-09-21 18:40:40,5466.5,5364.0,-1.88,STOP_LOSS,50.0
ALKEM.NS,2026-09-21,2026-09-21 22:13:36,5466.5,5364.0,-1.88,STOP_LOSS,50.0
ALKEM.NS,2026-09-22,2026-09-22 00:50:40,5466.5,5364.0,-1.88,STOP_LOSS,50.0
GRASIM.NS,2026-09-15,2026-09-22 05:35:06,3180.2,3136.60009765625,-1.37,STOP_LOSS,50.0
HONAUT.NS,2026-09-21,2026-09-22 05:35:06,35445.0,34545.0,-2.54,STOP_LOSS,50.0
